Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    111.40     0.00    40178     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00    111.40     0.00    40178     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00    111.40     0.00    38704     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00    111.40     0.00    38296     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Rect_<int>*, std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > > >::base() const
  0.00    111.40     0.00    38296     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::size() const
  0.00    111.40     0.00    38296     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00    111.40     0.00    38064     0.00     0.00  cvision::Detection* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*)
  0.00    111.40     0.00    38064     0.00     0.00  cvision::Detection* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*)
  0.00    111.40     0.00    38064     0.00     0.00  cvision::Detection* std::uninitialized_copy<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*)
  0.00    111.40     0.00    38064     0.00     0.00  cvision::Detection* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*, cvision::Detection>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*, std::allocator<cvision::Detection>&)
  0.00    111.40     0.00    37088     0.00     0.00  std::_Vector_base<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::_M_get_Tp_allocator()
  0.00    111.40     0.00    37088     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00    111.40     0.00    36462     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data&)
  0.00    111.40     0.00    36272     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::base() const
  0.00    111.40     0.00    36080     0.00     0.00  cvision::Frame const& std::forward<cvision::Frame const&>(std::remove_reference<cvision::Frame const&>::type&)
  0.00    111.40     0.00    35976     0.00     0.00  cvision::Frame::Frame(cvision::Frame const&)
  0.00    111.40     0.00    35976     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_create_storage(unsigned long)
  0.00    111.40     0.00    35976     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_base(unsigned long, std::allocator<cvision::Detection> const&)
  0.00    111.40     0.00    35976     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::vector(std::vector<cvision::Detection, std::allocator<cvision::Detection> > const&)
  0.00    111.40     0.00    35884     0.00     0.00  cv::_InputArray::_InputArray()
  0.00    111.40     0.00    35883     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00    111.40     0.00    35883     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00    111.40     0.00    35882     0.00     0.00  bool __gnu_cxx::operator!=<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >(__gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > > const&, __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > > const&)
  0.00    111.40     0.00    35881     0.00     0.00  cv::_InputArray::_InputArray(cv::Mat const&)
  0.00    111.40     0.00    35880     0.00     0.00  cv::Scalar_<double>::Scalar_()
  0.00    111.40     0.00    35880     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::operator++()
  0.00    111.40     0.00    35880     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat* const&)
  0.00    111.40     0.00    35880     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::operator*() const
