Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.13     0.00    38064     0.00     0.00  cvision::Detection* std::uninitialized_copy<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*)
  0.00     15.13     0.00    38064     0.00     0.00  cvision::Detection* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*, cvision::Detection>(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >, cvision::Detection*, std::allocator<cvision::Detection>&)
  0.00     15.13     0.00    37088     0.00     0.00  std::_Vector_base<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::_M_get_Tp_allocator()
  0.00     15.13     0.00    37088     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00     15.13     0.00    36462     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data&)
  0.00     15.13     0.00    36272     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::base() const
  0.00     15.13     0.00    36080     0.00     0.00  cvision::Frame const& std::forward<cvision::Frame const&>(std::remove_reference<cvision::Frame const&>::type&)
  0.00     15.13     0.00    35976     0.00     0.00  cvision::Frame::Frame(cvision::Frame const&)
  0.00     15.13     0.00    35976     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_create_storage(unsigned long)
  0.00     15.13     0.00    35976     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_base(unsigned long, std::allocator<cvision::Detection> const&)
